Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2019-08-25;m.o.n.t;Rock Paper Scissors;가위바위보;;https://youtu.be/C6iWAYEcAWw;Boy;Major;58670.0;10261.0;743.0;320;0.17489347196182034
2019-08-23;vav;Give me more (Un Poco Mas);;Purple Straw Film;https://youtu.be/EUwbY84YKs0;Boy;Special;10565246.0;276983.0;10416.0;321;0.02621642695304965
2019-08-22;g-reyish;KKILI KKILI;끼리끼리;;https://youtu.be/Tm4rXMKvCkw;Girl;Major;357055.0;14255.0;1230.0;322;0.03992382126002997
2019-08-22;up10tion;Your Gravity;;;https://youtu.be/BOo3fJ8lqbA;Boy;Major;1751588.0;121296.0;8657.0;323;0.06924916133245947
2019-08-22;grizly x chungha;Run;;;https://youtu.be/zv75s72X-WE;Co-ed;Special;610533.0;32328.0;652.0;324;0.05295045476657281
2019-08-21;oh hayoung;Don't Make Me Laugh;;;https://youtu.be/xpDlghQYvoo;Girl Solo;Major;558846.0;29609.0;3105.0;325;0.05298239586576624
2019-08-21;iz;Final Kiss;너와의 추억은 항상 여름같아;;https://youtu.be/vkzDPFV7oEw;Boy;Major;97024.0;19578.0;4601.0;326;0.2017851253298153
2019-08-21;oh hayoung;Don't Make Me Laugh;;;https://youtu.be/5CcVngv5ALw;Girl Solo;Major;1855923.0;81246.0;6631.0;327;0.04377660064560868
2019-08-20;celeb five;I wish I could unsee that;안 본 눈 삽니다;;https://youtu.be/p21n7yQX4uE;Girl;Special;905989.0;40253.0;2516.0;328;0.04442989925926253
2019-08-19;everglow;Adios;;;https://youtu.be/4gX_p1VkgA4;Girl;Major;177439386.0;2690080.0;158331.0;329;0.015160557419872947
2019-08-19;the boyz;D.D.D;;;https://youtu.be/bTTczRe-Pj0;Boy;Major;15248856.0;252080.0;8265.0;330;0.016531076167287564
2019-08-19;viini;Genie;도깨비방망이;;https://youtu.be/VN3sefQ0ksE;Boy Solo;Major;;;;331;
2019-08-19;target;BABY COME BACK HOME;;;https://youtu.be/S9um1lm9NsQ;Boy;Major;716408.0;66189.0;3112.0;332;0.09239009056291946
2019-08-19;holics;I'm Ur Fan;;;https://youtu.be/rIX-NDapjvo;Girl;Major;14788.0;577.0;0.0;333;0.03901812280227211
2019-08-19;red velvet;Umpah Umpah;;;https://youtu.be/vHS9E6JFja8;Girl;Major;51527918.0;1688609.0;121160.0;334;0.03277075933865599
2019-08-16;ans;Wonderland;;;https://youtu.be/mtF1PlZ5yw0;Girl;Minor;43389.0;3467.0;247.0;335;0.07990504505750305
2019-08-13;weki meki;Tiki-Taka(99%);;ZANYBROS;https://youtu.be/bgrOljOXdCQ;Girl;Major;6595809.0;220340.0;7960.0;336;0.03340606133379544
2019-08-13;the rose;Red;;;https://youtu.be/6pF3HCuFHvY;Boy;Major;;;;337;
2019-08-13;m.o.n.t;Daehan minguk mansae;대한민국만세;;https://youtu.be/7HEUJISrsxo;Boy;Minor;452028.0;38760.0;2786.0;338;0.08574690063447397
2019-08-07;rocket punch;Bim Bam Bum;빔밤붐;ZANYBROS;https://youtu.be/0306kjwhO-8;Girl;Major;4595989.0;196556.0;13576.0;339;0.042766856056444
2019-08-06;jbj95;Spark;불꽃처럼;;https://youtu.be/1FW0OKdDcd4;Boy;Major;1420157.0;59189.0;2173.0;340;0.04167778632925796
2019-08-06;fanatics;Sunday;;;https://youtu.be/NC_-T581Dbs;Girl;Major;1336208.0;54100.0;2516.0;341;0.04048770850047298
2019-08-06;venus;Turn Signal;깜빡이;;https://youtu.be/bPGZFYVjWNY;Girl;Major;61878.0;2069.0;198.0;342;0.03343676266201235
2019-08-06;in2it;Run Away;;;https://youtu.be/OwCFaFSGQ4o;Boy;Major;525930.0;48292.0;3532.0;343;0.0918221056034073
2019-08-05;pink fantasy;Fantasy;;;https://youtu.be/kfjpUTt9PJQ;Girl;Major;2046145.0;128923.0;15347.0;344;0.0630077536049498
2019-08-05;eyedi;Perfect 6th Sence;;;https://youtu.be/i7Q52jThBVg;Girl Solo;Japanese;104897.0;4394.0;0.0;345;0.041888709877308215
2019-08-05;seventeen;Hit;;Rigend Film;https://youtu.be/F9CrRG6j2SM;Boy;Major;91686557.0;1703957.0;118678.0;346;0.018584589232639632
2019-08-05;oh my girl;Bungee (Fall In Love);번지;;https://youtu.be/QTD_yleCK9Y;Girl;Major;26683170.0;171473.0;10166.0;347;0.0064262604480652035
2019-08-04;trcng;Missing;;;https://youtu.be/gXtHSkW6gpw;Boy;Major;731350.0;66033.0;5803.0;348;0.09028919122171326
2019-08-01;tiffany young;Magnetic Moon;;;https://youtu.be/oM_t7Y8gBwU;Girl Solo;Major;8273259.0;235586.0;11986.0;349;0.02847559831017015
2019-08-01;d1ce;Wake Up;깨워;;https://youtu.be/eo3A9QSVdrI;Boy;Major;448173.0;37286.0;2383.0;350;0.08319555171775185
2019-07-31;w24;Stay A Moment;거기 잠시라도;;https://youtu.be/OnHD4txhoDc;Boy;Major;109305.0;16657.0;1544.0;351;0.1523901010932711
2019-07-31;red velvet;Milkshake;밀크쉐이크;;https://youtu.be/PDy_i0UvAOI;Girl;Special;5199180.0;366083.0;10713.0;352;0.07041168030343246
2019-07-31;ruann;Beep Beep;;;https://youtu.be/FR8VWEgcvU8;Girl Solo;Major;840727.0;28925.0;1971.0;353;0.0344047473198791
2019-07-31;ha:tfelt;Happy Now feat. Moonbyul;;;https://youtu.be/GVGS_QTkvfw;Girl Solo;Special;;;;354;
2019-07-31;verivery;Tag Tag Tag;;;https://youtu.be/mmoAEvF_YAc;Boy;Major;3933685.0;102887.0;4927.0;355;0.02615537339670055
