id_video;nom_du_groupe;vues;likes;ratio_engagement;lien_video
977;iz;49807.0;5540.0;0.11122934527275283;https://youtu.be/BG8Y9hp_Gs4
978;jbj;1511827.0;130557.0;0.08635710302832268;https://youtu.be/GeXYOENaS0o
979;shinee;1674537.0;56911.0;0.033986110787638614;https://youtu.be/lClARHWctmI
984;monsta x;2085714.0;95214.0;0.045650554198706055;https://youtu.be/-n7fwnvYWmM
985;twice;75755170.0;919067.0;0.012132069666004313;https://youtu.be/DdLYSziSXII
987;snuper;738376.0;47338.0;0.0641109678537764;https://youtu.be/onqSAgAqpLQ
989;lovelyz;8929361.0;85481.0;0.009573025438214448;https://youtu.be/40Z9-kr504w
990;stray kids;10538593.0;471473.0;0.04473775578960114;https://youtu.be/rXEy8r5P_vc
993;apink;388277.0;20503.0;0.05280508502950213;https://youtu.be/kD9VaU5UT3Q
994;in2it;2664260.0;148984.0;0.05591946731925563;https://youtu.be/v91KLr4R5Rw
1000;highteen;164535.0;7579.0;0.04606314765855289;https://youtu.be/NG8TAF211jI
1002;vixx;14479581.0;387998.0;0.026796217376732104;https://youtu.be/MctZLEYlU4s
1003;jbj;7035844.0;297981.0;0.04235184861972494;https://youtu.be/Ks6I2rtI4ms
1006;h.u.b;86974.0;4610.0;0.05300434612642859;https://youtu.be/V7UDb1qgouk
1008;momoland;28449198.0;316337.0;0.011119364419341452;https://youtu.be/tSBPUP3MQ2I
1009;sf9;301429.0;14532.0;0.048210357994751665;https://youtu.be/jdrSmZVDvfs
1011;super junior;108159963.0;2071968.0;0.019156515428911527;https://youtu.be/ZbB4SYJNuTo
1018;twice;824081471.0;7700658.0;0.009344534819664694;https://youtu.be/i0p1bmr0EmE
1021;noir;1359594.0;117151.0;0.08616616431081632;https://youtu.be/zix2I8laSeI
1025;greatguys;484041.0;48692.0;0.10059478432612114;https://youtu.be/BMQZLR-f6nA
1028;winner;78583617.0;1273036.0;0.016199763367980378;https://youtu.be/d1D1SJ-KqaQ
1029;clc;1290082.0;71778.0;0.05563832376546607;https://youtu.be/Qv5JSMpBHf4
1030;the boyz;19059944.0;346116.0;0.018159339817577638;https://youtu.be/DNH7X46gMjQ
1031;tvxq!;6220529.0;167343.0;0.02690173134792877;https://youtu.be/vHvwuBzimIU
1033;exid;18820249.0;469847.0;0.024964972567578677;https://youtu.be/Q1JiptOTxno
1034;pentagon;23621838.0;611553.0;0.02588930632747545;https://youtu.be/z4dH6hEMuwk
1037;gavy nj;609315.0;4498.0;0.007382060182335902;https://youtu.be/7epSjhSbnMY
1038;mamamoo;1638879.0;79206.0;0.04832937636030482;https://youtu.be/LKVw4pTc1Hs
1039;stray kids;17160283.0;877943.0;0.051161335742539914;https://youtu.be/a4jiotDjHe4
1040;loona;15194799.0;361560.0;0.02379498406000632;https://youtu.be/UkY8HvgvBJ8
1042;tvxq!;20162512.0;470753.0;0.023347934027268032;https://youtu.be/3wnHiK5sKgA
1044;stray kids;71309984.0;1831423.0;0.025682560803827973;https://youtu.be/u6unJQownW4
1045;monsta x;42593332.0;909498.0;0.021353060615215545;https://youtu.be/TSA9VZduuZ4
1046;shinhwa;383641.0;15187.0;0.039586488409737226;https://youtu.be/PCtYEBaP8c4
1047;honey popcorn;3954954.0;117213.0;0.029637007156088288;https://youtu.be/LAOT6JscCVU
