nom_du_groupe;Short;Korean Name;Debut;Company;Members;Orig. Memb.;Fanclub Name;Active;id_group;genre
jbj;;제이비제이;2017-10-18;Fave;6;6;;No;66;Boy Group
jbj95;;제이비제이95;2018-10-30;Hunus;2;2;;Yes;67;Boy Group
jjcc;;제이제이씨씨;2014-03-13;Jackie Chan Group;5;6;;Yes;68;Boy Group
jyj;;제이와이제이;2010-09-08;C-JeS;3;3;Cassiopeia;Yes;69;Boy Group
k-much;;케이머치;2014-01-07;Chrome;4;5;;No;70;Boy Group
knk;;크나큰;2016-03-03;YNB;5;5;Tinker Bell;Yes;71;Boy Group
limitless;;리미트리스;2019-07-09;ONO;4;4;;Yes;72;Boy Group
lu:kus;;루커스;2014-07-04;JWK;4;5;;Yes;73;Boy Group
lucente;;루첸트;2018-09-18;NOGA;7;7;;Yes;74;Boy Group
m.i.b;;엠아이비;2011-10-26;Jungle;4;4;;No;75;Boy Group
m.o.n.t;MONT;몬트;2019-01-04;FM;3;3;;Yes;76;Boy Group
madtown;;매드타운;2014-10-06;GNI;7;7;;No;77;Boy Group
map6;;맵식스;2015-11-10;DreamT;5;5;;Yes;78;Boy Group
masc;;마스크;2016-08-19;JJ Holic;4;8;;Yes;79;Boy Group
mblaq;;엠블랙;2009-10-14;J. Tune;3;5;A+;Yes;80;Boy Group
mfect;M.fect;엠펙트;2015-04-27;Midas;5;5;;Yes;81;Boy Group
monsta x;;몬스타엑스;2014-05-14;Starship;6;7;Monbebe;Yes;82;Boy Group
mr.mr;;미스터미스터;2012-10-04;WinningIn;6;5;;Yes;83;Boy Group
mustb;;머스트비;2019-01-21;MustM;7;7;;Yes;84;Boy Group
mvp;;엠브이피;2017-03-13;PH;7;7;;Yes;85;Boy Group
mxm;;엠엑스엠;2017-09-06;Brand New;2;2;;Yes;86;Boy Group
myname;;마이네임;2011-10-27;H2;5;5;MYgirl;Yes;87;Boy Group
myteen;;마이틴;2017-07-26;The Music Works;6;7;;Yes;88;Boy Group
n-sonic;;엔소닉;2011-10-05;C2K;6;5;;No;89;Boy Group
n-train;;엔트레인;2011-05-27;MediaLine;5;5;;No;90;Boy Group
n.flying;;엔플라잉;2015-05-20;FNC;4;4;N.Fia;Yes;91;Boy Group
nct;;엔시티;2016-04-09;SM;18;18;NCTzen;Yes;92;Boy Group
newkidd;;뉴키드;2019-04-25;J-FLO;7;7;;Yes;93;Boy Group
noir;;느와르;2018-04-09;LUK;9;9;;Yes;94;Boy Group
ntb;;엔티비;2018-05-28;High Choice;6;6;;Yes;95;Boy Group
nu'est;;뉴이스트;2012-03-15;Pledis;5;5;LOΛΕ;Yes;96;Boy Group
oneus;;원어스;2019-01-09;RBW;6;6;;Yes;97;Boy Group
onf;;온앤오프;2017-08-02;WM;6;7;;Yes;98;Boy Group
pentagon;PTG;펜타곤;2016-10-10;Cube;9;10;;Yes;99;Boy Group
phantom;;팬텀;2011-11-25;Brand New, RBW;3;3;;No;100;Boy Group
rainz;;레인즈;2017-10-12;(Genie);7;7;Rainzer;No;101;Boy Group
road boyz;;로드 보이즈;2015-11-17;Coconut;5;5;;No;102;Boy Group
romeo;;로미오;2015-11-04;CT;7;7;;Yes;103;Boy Group
sechkies;6KIES;젝스키스;1997-04-15;DSP, YG;5;6;Yellowkies;Yes;104;Boy Group
seven o'clock;SOC;세븐어클락;2017-03-16;Staro, KDH;5;6;;Yes;105;Boy Group
seventeen;SVT;세븐틴;2015-05-26;Pledis;13;13;Carat;Yes;106;Boy Group
sf9;;에스에프나인;2016-10-05;FNC;9;9;Fantasy;Yes;107;Boy Group
sg wannabe;;SG 워너비;2004-01-20;B2M;3;4;;Yes;108;Boy Group
shinee;;샤이니;2008-05-22;SM;4;5;Shawol;Yes;109;Boy Group
shinhwa;;신화;1998-03-24;SM, Good, Shinhwa;6;6;Shinhwa Changjo;Yes;110;Boy Group
signal;;시그널;2019-08-28;J-Star;4;4;;Yes;111;Boy Group
snuper;;스누퍼;2015-11-16;Widmay;6;6;Swing;Yes;112;Boy Group
spectrum;;스펙트럼;2018-05-09;WYNN;6;7;;Yes;113;Boy Group
speed;;스피드;2013-01-15;MBK;7;7;;No;114;Boy Group
ss501;;더블에스오공일;2005-06-08;DSP, CI;5;5;Triple S;No;115;Boy Group
stray kids;SKZ;스트레이 키즈;2018-03-26;JYP;9;9;;Yes;116;Boy Group
super junior;SJ;슈퍼주니어;2005-11-06;SM;11;12;ELF;Yes;117;Boy Group
supernova;;초신성;2007-09-21;CJ E&M;5;6;;Yes;118;Boy Group
target;;타겟;2018-01-23;TNS;7;7;;Yes;119;Boy Group
teen top;;틴탑;2010-07-09;TOP Media;5;6;Angel;Yes;120;Boy Group
the boyz;;더보이즈;2017-12-31;Cre.Ker;12;12;;Yes;121;Boy Group
the eastlight;;더 이스트라이트;2016-11-03;MediaLine;6;6;;No;122;Boy Group
the legend;;전설;2014-07-09;SS;5;5;;No;123;Boy Group
the man blk;;더 맨 블랙;2018-11-15;Stardium;10;10;;Yes;124;Boy Group
toppdogg;;탑독;2013-10-22;Stardom, Hunus;5;13;ToppKlass;No;125;Boy Group
trax;;트랙스;2004-07-20;SM;2;4;;No;126;Boy Group
trcng;;티알씨엔지;2017-10-10;TS;10;10;;Yes;127;Boy Group
tst;Top Secret;일급비밀;2017-01-04;JSL;7;7;;Yes;128;Boy Group
turbo;;터보;1995-09-06;MBK, Turbo Co.;3;2;;Hiatus;129;Boy Group
tvxq!;TVXQ;동방신기;2003-12-26;SM;2;5;Cassiopeia;Yes;130;Boy Group
txt;;투모로우바이투게더;2019-03-04;Big Hit;5;5;;Yes;131;Boy Group
u-kiss;;유키스;2008-08-28;NH Media;6;6;Kissme;Yes;132;Boy Group
unb;;유앤비;2018-04-07;Unit Culture;9;9;;No;133;Boy Group
uniq;;유니크;2014-10-20;Yuehua;5;5;Unicorn;Yes;134;Boy Group
up10tion;;업텐션;2015-09-11;TOP Media;10;10;HONEY10;Yes;135;Boy Group
varsity;;바시티;2017-01-05;GKC;12;12;;Yes;136;Boy Group
vav;;브이에이브이;2015-10-31;A team;7;6;;Yes;137;Boy Group
verivery;VRVR;베리베리;2019-09-01;Jellyfish;7;7;;Yes;138;Boy Group
vermuda;;버뮤다;2017-07-13;JJJ;5;5;;Yes;139;Boy Group
victon;;빅톤;2016-11-09;Plan A;7;7;Alice;Yes;140;Boy Group
vixx;;빅스;2012-05-24;Jellyfish;6;6;Starlight;Yes;141;Boy Group
voisper;;보이스퍼;2016-02-23;Evermore;4;4;;Yes;142;Boy Group
vromance;;브로맨스;2016-06-12;RBW;4;4;;Yes;143;Boy Group
wanna one;;워너원;2017-08-07;YMC;11;11;Wannable;No;144;Boy Group
we in the zone;;위인더존;2019-05-27;Choon;5;5;;Yes;145;Boy Group
winner;;위너;2014-08-12;YG;4;5;Ace;Yes;146;Boy Group
ze:a;;제국의 아이들;2010-01-07;Star Empire;9;9;ZE:A Style;Hiatus;147;Boy Group
(g)i-dle;;(여자)아이들;2018-05-02;Cube;6;6;;Yes;1;Girl Group
15&;;피프틴앤드;2012-10-05;JYP;2;2;;No;2;Girl Group
2eyes;;투아이즈;2013-07-20;SidusHQ;4;5;;No;3;Girl Group
2ne1;;투애니원;2009-05-06;YG;4;4;Blackjack;No;4;Girl Group
3ye;;써드아이;2019-05-21;GH;3;3;;Yes;5;Girl Group
4minute;;포미닛;2009-06-15;Cube;5;5;4nia;No;6;Girl Group
4ten;;포텐;2014-08-26;Jungle;4;4;;Yes;7;Girl Group
9muses;Nine Muses;나인뮤지스;2010-08-12;Star Empire;4;9;MINE;No;8;Girl Group
a.de;;에이디이;2016-07-23;2ABLE;6;7;;No;9;Girl Group
abry;;에이브리;2017-11-15;withHC;4;4;;Yes;10;Girl Group
after school;;애프터스쿨;2009-01-15;Pledis;6;5;Playgirlz;No;11;Girl Group
airisu;;아이리수;2018-07-25;Jang;4;4;;Yes;12;Girl Group
ans;;에이엔에스;2019-09-16;ANS;8;6;;Yes;13;Girl Group
aoa;;에이오에이;2012-07-30;FNC;5;8;ELVIS;Yes;14;Girl Group
apink;;에이핑크;2011-04-19;Plan A;6;7;Pink Panda;Yes;15;Girl Group
apple.b;;애플비;2017-08-01;GH;5;5;;No;16;Girl Group
april;;에이프릴;2015-08-24;DSP;6;6;Fineapple;Yes;17;Girl Group
