Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2019-08-27;fanxy red;T.O.P;;;https://youtu.be/0Sz3UhwFPYg;Girl;Major;733900,0;67738,0;3758,0;313;0,0922986782940455
2019-08-27;girlkind xjr;Money Talk;머니토크;;https://youtu.be/4sPT5wJxnn4;Girl;Major;227520,0;12477,0;677,0;314;0,054839135021097045
2019-08-27;sunmi;Lalalay;날라리;;https://youtu.be/LrggmyDhWBo;Girl Solo;Major;29251483,0;624668,0;10323,0;315;0,021355088218946026
2019-08-27;x1;Flash;;Rigend Film;https://youtu.be/LlQEKB2H7z4;Boy;Major;124141994,0;1878532,0;254990,0;316;0,015132123622889447
2019-08-27;peniel (btob);Flip feat. Beenzino;;;https://youtu.be/USlrvoGQGEc;Boy Solo;Minor;574335,0;41880,0;2439,0;317;0,07291911515056544
2019-08-26;n.cus;Super Luv;;;https://youtu.be/DrhsRvCb_SI;Boy;Major;258723,0;27784,0;1737,0;318;0,10738898358476054
2019-08-25;jimin park;Stay Beautiful;;;https://youtu.be/hfLZnNby97c;Girl Solo;Major;3244761,0;228136,0;8994,0;319;0,07030903046480157
2019-08-25;m.o.n.t;Rock Paper Scissors;가위바위보;;https://youtu.be/C6iWAYEcAWw;Boy;Major;58641,0;10264,0;743,0;320;0,17503112157023243
2019-08-23;vav;Give me more (Un Poco Mas);;Purple Straw Film;https://youtu.be/EUwbY84YKs0;Boy;Special;10549873,0;276790,0;10414,0;321;0,02623633478810598
2019-08-22;g-reyish;KKILI KKILI;끼리끼리;;https://youtu.be/Tm4rXMKvCkw;Girl;Major;356540,0;14249,0;1231,0;322;0,03996466034666517
2019-08-22;up10tion;Your Gravity;;;https://youtu.be/BOo3fJ8lqbA;Boy;Major;1750832,0;121300,0;8658,0;323;0,06928134738227311
2019-08-22;grizly x chungha;Run;;;https://youtu.be/zv75s72X-WE;Co-ed;Special;610210,0;32333,0;652,0;324;0,05298667671785123
2019-08-21;oh hayoung;Don't Make Me Laugh;;;https://youtu.be/xpDlghQYvoo;Girl Solo;Major;558596,0;29618,0;3105,0;325;0,05302221999441457
2019-08-21;iz;Final Kiss;너와의 추억은 항상 여름같아;;https://youtu.be/vkzDPFV7oEw;Boy;Major;96984,0;19579,0;4601,0;326;0,20187866039759136
